ma_short,ma_long,stop_loss,total_return,sharpe_ratio,max_drawdown,win_rate,profit_factor
20,50,-0.08,0.0024,1.65,0.0761,1.0,99.99
20,50,-0.1,0.0024,1.65,0.0761,1.0,99.99
5,75,-0.08,0.0021,1.62,0.0762,1.0,99.99
5,75,-0.1,0.0021,1.62,0.0762,1.0,99.99
20,75,-0.1,0.0017,1.52,0.0654,1.0,99.99
20,75,-0.08,0.0017,1.52,0.0654,1.0,99.99
10,50,-0.1,0.0018,1.39,0.0761,1.0,99.99
10,50,-0.08,0.0018,1.39,0.0761,1.0,99.99
5,50,-0.08,0.0017,1.36,0.0762,1.0,99.99
5,50,-0.1,0.0017,1.36,0.0762,1.0,99.99
10,75,-0.08,0.0016,1.34,0.0713,1.0,99.99
10,75,-0.1,0.0016,1.34,0.0713,1.0,99.99
